Job Board,Post URL,Company Name,Industry,Location,Position/Title,Skills,Seniority Level,"Job Type (i,e. Remote, Hybrid, On Premise)",Minimum Years Experience
LinkedIn,,Moloco,Advertising Services,"Redwood City, CA",Senior Data Scientist,"Master's degree in a quantitative discipline (e.g. Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering) or equivalent research experience.
5+ years of work experience in data science related fields.
Distinctive problem-solving skills, good at articulating product questions, pulling data from large datasets and using statistics to arrive at a recommendation.
Excellent verbal and written communication skills, with ability to present information and analysis results effectively.
Ability to build positive relationships within DSA and with our stakeholders, and work effectively with cross-functional partners in a global company.
Statistics: must have strong knowledge and experience in experimental design, hypothesis testing, and various statistical analysis techniques such as regression or linear models.
Machine Learning: must have deep understanding of ML algorithms (i.e. deep learning, random forest, gradient boosted trees, k-means clustering, etc.) and its development, validation, and evaluation.
Programming: experience with Python, R or other scripting language, and database language (e.g. SQL) or data manipulation (e.g. Pandas, Dplyr) are required.
PhD degree in a quantitative discipline.
Ability to manage multiple projects at the same time while paying attention to detail and translate analysis results into business recommendations.
Proven ability to own projects end-to-end, even when you have to get creative: you do more than completing delegated tasks.
Demonstrated leadership and self-direction. Willingness to both teach others and learn new techniques.",Mid-Senior level,,
LinkedIn,https://www.linkedin.com/jobs/view/3514753142,Citi ,Financial Services,"Irving, TX",Lead Data Scientist –Credit Risk Modeler,"Excellent knowledge and understanding of a variety of model development and validation testing techniques covering risk models, including but not limited to linear regression models, logistic regression, generalized additive models, decision and regression trees, information gain and related segmentation statistical tools. Previous familiarity with models such as default, delinquency, loss severity modelling, PD, LGD, EAD models etc. is preferred.
With 5+ years of relevant model development experience in Finance or related field.
Relevant and recent experience with statistical analysis, modeling techniques and numerical implementations (Python, R, Java, SAS, or Oracle SQL).
Sound problem-solving skills, ability to think creatively.
Ability to meet deadlines for product deliverables in a timely, proactive and entrepreneurial manner.
Working knowledge of credit data reliability analysis, quality controls and data processing.
Experience in developing and maintaining detailed technical documentation for models, model validation, project plans and processes.
Strong interpersonal skills and the ability to foster a collaborative environment.
Excellent written and verbal communication skills, and ability to discuss technical issues with clients, peers, auditors, regulators and senior management.",,Hybrid,
LinkedIn,https://www.linkedin.com/jobs/view/3513162637,T-Mobile,Telecommunications,"Parsippany, NJ",Data Scientists,"Experience using database technologies including MSSQL, Teradata, Oracle, and Snowflake to develop and execute database queries and conduct analyses by acquiring data from an array data sources to provide ongoing reports and develop fact-based recommendations.
Experience in Data Engineering and workflow design tools including Alteryx to develop processes and scheduling to automate the processes and make data readily available for leaders and Google Analytics to understand customer behavior patterns on the web and identify drop out points in the web application process, provide recommendations and measure effectiveness of changes being made to further optimize customer experience on the web.
Experience using data visualization/ BI tools including Excel and PowerBI to conceptualize dashboards which present information using advanced data visualization techniques for strategy building and core business decision making.
Experience in Financial Analytics, Customer churn, and forecasting to report Revenue Metrics and provide forecast of expected payments to be included in the CLV model.
Experience in the Lifeline and Telecom industry to help influence go to market strategic roadmap initiatives including new markets, device upgrades based on historical data patterns, competitor, and consumer market research.
Experience in presenting analysis and strategies to stake holders and leadership to Collaborate with the Digital and Sales team to provide strong decision support and robust recommendations based on data-driven analysis and delivering data narratives.
Experience in cross functional team collaboration and communication to Lead planning and requirements for new initiatives from a reporting perspective.",Entry-Level,,
LinkedIn,https://www.linkedin.com/jobs/view/3511400003,Federal Home Loan Bank of Topeka,Financial Services,"Topeka, KS",Data Scientist,"Bachelor’s degree in Computer Science, Data Science, Analytics, Statistics, or related field.
Five to seven years of experience transforming and analyzing data from multiple sources to drive business insights and using statistical computer languages (R, Python, SQL, etc.).
Two to five years of experience with visualization tools and data spreadsheets, including Cognos, Power BI and Excel.
Knowledge and experience with data science toolkits such as Matplotlib, Pandas, NumPy, and GitHub.
Knowledge of a variety of machine learning techniques, algorithms, and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts and experience with applications.
Excellent analytical and problem-solving skills.
Working knowledge of statistical models and business intelligence.
Self-starter and intellectual curiosity to seek solutions without direction.
Excellent communication skills and experience successfully partnering with both technical and non-technical stakeholders within the FHLBank to drive improved outcomes for the business through analytics.
Proven ability to perform with a high degree of accuracy and detail orientation.
Proven ability to deliver presentations to stakeholders that tell a compelling story using analytics relevant to the audience.
Passion for continuous learning.
Strong project management skills and ability to work on multiple projects simultaneously.
Prefer two or more years’ experience with Agile development methodologies.
Must be able to work and travel independently and use general office equipment.",Mid-Senior level,Hybrid,
LinkedIn,https://www.linkedin.com/jobs/view/3511643028,eBay,"Technology, Information and Internet","Austin, TX","Sr. Manager, Data Science","Master’s or PhD’s in computer science or related fields with 10+ years of relevant experience
5+ years of managerial experience
Background in Natural Language Processing, Artificial Intelligence or Machine Learning
Strong track record of innovation with publications
Deep technical and problem-solving skills
Deep knowledge in Machine Learning model building and its applications
Experience building solutions using rules engines, ML and AI technology
Experience leading a technology team
Experience in agile development
Experience in web technologies and architecture
Experience with database backend technologies and architecture
Background in customer service field is strongly desired
Experience in implementing technical solutions for customer service is a plus
Strong written and oral communication skills",Mid-Senior level,Hybrid,
LinkedIn,https://www.linkedin.com/jobs/view/3515871826,AutoZone,Motor Vehicle Manufacturing,"Memphis, TN",Data Scientist,"To be successful in this position, a solid statistical skill set is required like multiple linear regression, multivariate adaptive regression spline, cluster analysis, time series modeling, etc. A strong data skill set is also needed-- like SQL programming and SAS data step programming to get the data prepared for analysis and modeling
Bachelor’s degree in Statistics, applied Mathematics, Economics or related discipline; Master’s degree preferred
2 to 4 years’ experience in data science
Advanced pattern recognition and predictive modeling experience
Experience with Excel, PowerPoint, SQL, SAS, and experience with other programming languages (i.e., R, Python,)
Comfort working in a dynamic, research-oriented group with several ongoing concurrent projects",,On-Site,
LinkedIn,https://www.linkedin.com/jobs/view/3520439276,Invesco US,Investment Management,"Houston, TX",Senior Data Scientist (Tech Strategy and Innovation),"3-5 years of experience with machine learning
3-5 years of experience in a role entailing statistical or quantitative analysis
Financial services experience or degree a big plus either in financial or economic analysis
Solid understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.
Excellent applied statistics skills, such as distributions, statistical testing, regression, etc.
Strong predictive analytics experience with Python or R
Experience with data and machine learning services using Azure, Amazon Web Services (AWS), and / or Google Cloud",Mid-Senior level,,
LinkedIn,https://www.linkedin.com/jobs/view/3505424951,Humana,Wellness and Fitness Services,"San Antonio, TX",Principal Data Scientist,"Bachelor's Degree
10 or more years technical experience
2 or more years project and/or people leadership experience
Experience in using mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions
Experience with providing strategic advice and guidance to functional teams
Experience in developing, maintaining, and collecting structured and unstructured data sets for analysis and reporting
Experience in creating reports, projections, models, and presentations to support business strategy and tactics
Successful demonstrated experience in working with senior executives to develop and drive segment or enterprise-wide functional strategies
Ability to advise one or more areas, programs or functions
Ability to work at very high levels in multiple knowledge and functional areas across the enterprise
Experience working with and analyzing various types of data using Python and PySpark
Strong analytical and critical thinking skills
aster's Degree
Prior consulting experience
3 - 5 years project and/or people leadership experience
Prior experience with Microsoft Azure and the Azure data ecosystem
Prior experience with work focused on operational efficiency and/or growth",,Remote,
LinkedIn,https://www.linkedin.com/jobs/view/3513508984,Hyatt Hotels Corporation,Hospitality,"Chicago, IL",Senior Data Scientist,"At least 7 years of professional experience as a Data Scientist.
Expertise in Python and SQL, additional software experience preferred ie Docker, Spark.
Experience in machine learning modeling (classification, regression, reinforcement) across a variety of implementations (linear, neural networks, SVM, tree-based, bandits, etc) and frameworks (Tensorflow, PyTorch, Sagemaker, Prophet, etc).
Experience applying statistical tests (t-test, chi-squared, non-parametric, etc), experiment design, and causal inference models to real-world problems.
Experience with IP/MIP/QP optimization.
Experience deploying ml-driven solutions to production with a focus on measurable impact and outcomes.
Experience operating in a cloud environment (AWS, GCP) with large datasets.
Experience with streaming data architectures.
Experience operating in an Agile Methodology environment.
Experience with DevOps and CI/CD concepts.
Excellent communication and teamwork skills.",,On-Site,
LinkedIn,https://www.linkedin.com/jobs/view/3505936934,"Burlington Stores, Inc.",Retail,"Edgewater Park, NJ",Data Scientist,"Bachelors/Masters Degree or a Foreign Equivalent
3+ years Information Technology experience
3+ years practical experience with SaaS, ETL, data processing, database programming and data analytics
Experience in writing SQL code to access data from the data warehouse
Experience in coding using R/Python
Experience ulizing Data Bricks/Snowflake
3+ years extensive background in data mining and statistical analysis
Able to understand various data structures and common methods in data transformation
Excellent pattern recognition and predictive modeling skills
Working knowledge with Analytical tools like Power BI, MicroStrategy, Tableau, Looker, etc.
Knowledge of automation tools to schedule jobs
Retail experience preferred",Entry level,Remote,
LinkedIn,https://www.linkedin.com/jobs/view/3518431948,Dave,Financial Services,"Dallas, TX","Lead Data Scientist, Credit","Minimum 6+ years of experience in credit risk management and predictive analytics
Master degree in Computer Science, Mathematics/Statistics and other STEM majors is required; PhD is a plus
Deep domain knowledge in unsecured consumer lending or credit cards
Proficiency with SQL, Python; Cloud computing is a plus
Detailed, results oriented operator
Curious and creative problem-solver
Clear communication style to guide working teams and report out credit performance to executive stakeholders",Mid-Senior level,Remote,
LinkedIn,https://www.linkedin.com/jobs/view/3491963025,National Basketball Association (NBA),Spectator Sports,"New City, NY",Basketball Data Scientist and Scheduling Analyst,"2-5 years of experience in strategy, project management, and/or data analytics, ideally related to the sports industry
Self-starter with exceptional problem-solving skills and ability to communicate with a non-technical audience and deal effectively with senior management
A passion for sports and a strong interest in the NBA, its teams and affiliated leagues
Applied knowledge of statistical regression methods
Supervised and unsupervised learning techniques in machine learning (e.g. dimensionality reduction and clustering)
Experience with modeling (e.g., Excel), scripting languages (e.g. R or Python) and data visualization tools (e.g. Shiny or Tableau)
Confident individual, able to work in a fast-paced environment and manage short term deliverables along with long-term projects
Proven self-management, problem identification and solution capabilities
Must exercise good judgement and be able to maintain confidentiality with sensitive projects
Ability to work well in a team environment and independently
Strong communication skills (verbal & written)",Mid-Senior level,Hybrid,
LinkedIn,https://www.linkedin.com/jobs/view/3476793561,Five Below,Retail,"Philadelphia, PA","Principal, Data Scientist","Master’s Degree required (Ph.D. preferred) in relevant technical field (e.g. Computer Science, Engineering, Mathematics, Physical Sciences, or Economics).
5+ years of previous data science experience, with a strong emphasis on answering complex business questions and developing practical solutions.
Extensive experience with large data sets, statistical analyses, and visualization as well as related tools (e.g. SQL, Python, SAS, R, Matlab, Tableau, Power BI, Spotfire).
Proven track record of leading teams to deliver measurable business impact.
Excellent communication skills to convey complex analyses clearly in order to improve decisions and enhance processes.
Experience partnering with technology and business stakeholders to deliver analytical capabilities.
Desire to both contribute to and provide leadership of analytical efforts.",Mid-Senior level,Remote,
LinkedIn,https://www.linkedin.com/jobs/view/3509112436,Waymo,"Technology, Information and Internet","Mountain View, CA",Product Data Scientist,"At least 6+ years of experience
Ability to extract actionable insights from data
Expertise performing detailed statistical analysis and modeling
Expertise using SQL to extract, clean, and transform data in large, complex, nested databases
Excellent written and verbal communication skills and strong intellectual curiosity
Experience with mapping and/or process optimization
Experience with Python or R
An advanced degree in Statistics, Economics, Mathematics, Computer Science or similar field",Mid-Senior level,,
LinkedIn,https://www.linkedin.com/jobs/view/3498030732,HP,IT Services and IT Consulting,"New York, United States ",Master Data Scientist,"Extensive experience using statistics, mathematics, algorithms and programming languages to solve big data challenges.
Demonstrated innovation in the domain
Fluent in structured and unstructured data, its management, and modern data transformation methodologies.
Ability to define and create complex models to pull valuable insights, predictions and innovation from data.
Effectively and creatively tell stories and create visualizations to describe and communicate data insights.
Strong analytical and problem-solving skills.
Excellent written and verbal communication skills; mastery in English and local language.
Ability to effectively communicate data product architectures and/or algorithm design proposals and negotiate options at senior management levels, BU and executive levels.",Mid-Senior level,Remote,
Glassdoor,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000186e77165ce810cf2325bec57c6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3dd8f6f8&cb=1678920214450&jobListingId=1008130011556&cpc=A5A1FAFC3DFA52A8&jrtk=3-0-1grjn2pfchaps801-1grjn2pg3227a000-43b80c33930f486e--6NYlbfkN0C8AGG1D6CUkV8vzWS9eswnJTt337Htwhj2A0sUpTxnTVYeNAnI2UAXPMOFOYfJpuuixSxvDqdjiYjsqKxz-ZnAeVEltP8I7KZwnEqjm2g8UXprmw7i0xGPZhtEPBm76mzCe9eDm950fCqAHTk6Nxq9tf6zFMSvWC-PluXjFhbZjccw-BOxMjzU88hpIg2_JqgE2iVDhaDoOQGElVvZKGny-ZJv09uiGs3zElXZ9HavA0OesdWUAaNapiBOw4yRaZLCSuqLkhiaodPlq2A_1W6lO7DFm0ekcXE1uqcDKXZ_NmDglv0TPL9IbTkNFtdW299mFCJMVXNwMZwsqY3-h_OdEdPAsmjlW5HMKWPSiTTSE8wsDKgU_2scMUj1nx66wfsQVDdeTNdIl85BnCoCPh1NT3fhVHnYicIWAEFPCqkXgWktnVJE0frupNXHiIf3rasXSiSEnQWyNFfmMATjQdEVzvxMIGar9QvFFM-1YxQAN3IF8RevscwFm2w-tJCazCDgcQ_fAm6EJxs__UwCFpGXBI48brZzWycPZQjdQiCriVhjEC9sw02cVz7TgXelfd6XFRFuV9lUuFDwcYB311j1iY7-leU2u3VOZgFcIIrLGVVt9nzyviqldOMyx2Cg7pcew_bqm8Kl-aBEzvKxgQJ_,VERUS CLAIMS SERVICES LLC,,"Princeton, NJ",Analytics Manager,"Bachelor’s degree in Statistics, Data Science, or a related field. Master’s or higher degree preferred.
5 years of experience in a position working with and drawing insights from data.
2 years of experience leading a team.
Proficiency in modern programming languages such as Python and R. Strong experience in Excel.
Understand sampling, data collection, and metrics.
Strong understanding of data organization/data warehousing and relational databases. Understanding of modern databases desired.
Ability to present quantitative analysis in an easy and understandable way (written and spoken).
Ability to convert analytics into actions.
Solid knowledge of classical statistics methods and data science. Knowledge of machine learning desired.
Strong statistical engineering skills (design of reports and dashboards, visualization, and processes).
Project management skills are highly desirable.",Manager,"c(""Hybrid"", ""remote"")",
Glassdoor,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000186e77165ce810cf2325bec57c6&src=GD_JOB_AD&t=SR&vt=w&cs=1_e17ecc4e&cb=1678920214450&jobListingId=1008445231183&cpc=EE7F0D06914A6BE7&jrtk=3-0-1grjn2pfchaps801-1grjn2pg3227a000-0bb0f758b9f7dc46--6NYlbfkN0ATKcDG7uKu-HzE7G0Rbx-rO7IixqtbOcMq1Ypzrxa53ONfJFcpPAwiFJ8YNQL-_Ny-b-caHq3Monw5lX2ArcBsTFU53jDltiMwCceJ7opqHT0v9XHFQF2MbgcI3DhFWVpVkSfm9qnQIwx6deCdwpXuZjpJNdDjoL9iAlaoiNkW222VEb6jYuOQgD9B0uBt4dFlZG0p2qpleS8tbFMgGmCvTuZUpDMdydZ-F1d3PeU3XWEMfUSfOIb615-KlS851V3BrdReBbZbv9kUMcxHAY2I6iQD_msmhKbOnFLgtWjmibLZUsrTIn8glo4EN7BNwQ7XKPj2T0S5iRvxC8HKUPCx8xTlAq2P_I4y7NcJXkmtCRM4lhy5aPT8wZ4XSItpjLJrNCY-lZFfh1eLdnpo1jpmg-8oTDMABP8hk1_o6FzdiwNBqAruxw4Gbx1_vhiL_eIYugFfoVxdX5G6C-4oB3z1k27SXMJD0xL-VeikCe-yuGy0_LpboJ0vSssB-pD-Qy-YnbuYksMKSHRQKzI_kv6z49tLhNwP0Lo-I3ibxjT1PQ%3D%3D,Hamilton College,,"Clinton, NY",Data Science/Analysis Research Librarian,"Uses advanced skills with data analysis, data cleaning/wrangling/normalization, regular expressions, web scraping, and APIs to support and collaborate with researchers on data-related research.
Retrieve/manipulate complex data from a variety of sources; transfer data between platforms for use in multiple computing environments.
Work closely with and provide direct assistance to students in data science/analysis including workshops or other instruction.
Assists with in-class instruction of statistic-based labs in the social sciences.
Assist students with research projects and course assignments that require data analysis.
Works collaboratively with others in LITS and with LITS partners such as the Quantitative & Symbolic Reasoning Center (QSR), Oral Communication Center (OCC), and the Writing Center.
Assist in the choice, application, and interpretation of quantitative research methods, and with the use of statistical software needed to implement these methods.
Works consistently to enhance technical skills and develop proficiency with new data analysis tools and techniques.
Develops services in response to needs of faculty and students in the social sciences, LITS priorities, and diverse Hamilton populations.
Build effective working relationships with faculty and students.
Identifies, evaluates and recommends new and emerging data analysis research tools and methods for social science students and faculty, and LITS.",character(0),character(0),
Glassdoor,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000186e77165ce810cf2325bec57c6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8596667f&cb=1678920214450&jobListingId=1008530848182&cpc=71D4EE06E32D485A&jrtk=3-0-1grjn2pfchaps801-1grjn2pg3227a000-932f8f0230618787--6NYlbfkN0DsBOlmEAMqZtav1V1WKZO3RUElpafjggtWvxyDQ3xFSlwwv6KjuyvHelEgU14lCeLjPzNP2XDznMrR1rOuR7V3-Mm2kLyA_71p8wz2A-fxVqVZEJA7-qwq66DaTNzOP88302oYxwcP4i1s0DPrwtQ0BSZfXfUiN0SaJpOHbT9S1ySjRTLgCqUDOHAgNZTb51gOhkD0bM50rgJfzP51Jt2aJdD6P6ci2lUDzZwfym9I3kqgb_ROI9wt5Ncx4AZW7DH0bqQJHySEx5zHuJKuBnivKq_eyyGh4LdhrhTWmijoKS9L7AkSwMLbOMvXtagA1jVDvOxKAP3N-DEmpQAqHLBfiTL0Zrj9PhNOw91K9IgBWhqg2iMhAkzEmymU2Zxow-zSW-_D5w6SffJqHttT7olBxp1rwtatuzhw0PiZsgbkqCh4zSzRgRTGCMxbw967EcoFan6T5ioLpgQXi6VjK5N18QnBGmE9gM5wYAVB4323-LsR1XBlvske-vjOnHUFaRlfw5YTat8FegLU5A8SkdjIxoYFGetyMmvWuaY_FHO7H4zTqlWNsGAHQZzIKF2FZ1IhDaqLSrZrW15DuctQfLtJ,INNOVATIVE DATA SOLUTIONS,,"Springfield, VA",Data Scientist (TS/SCI),"2+ years of experience as a Data Scientist, Data Engineer, ML Engineer, or Data Analysts and Bachelor's Degree in Computer Programming, Science, Engineering or a related technical discipline, or the equivalent combination of education, technical training, or work/military experience
3+ years of experience in a Linux environment
Direct experience and demonstrated proficiency with Python programming to build containerized microservices that use message queues such as activemq or rabbitmq.
Experienced in ML Model performance testing and hyperparameter tuning (Tensorboard, wandb, mlflow)
Experience training ML models with GPU acceleration in a containerized environment using common AI frameworks such as Tensorflow or Torch.
Experience with workload managers (SLURM, Argo Workflow, Airflow)
Strong problem solving and troubleshooting skills
Strong communication and interpersonal skills
Must possess excellent time management skills and the drive to work unsupervised
Active TS/SCI clearance required and eligibility to obtain a CI poly
Prior experience working with or within the Intelligence Community or a military intelligence unit
Understanding of access management and security groups (i.e. IAM, S3 bucket, SSH, VPN, etc.)
Computer vision related experience with torchvision or tensorflow object detection APIs.
Additional languages on top of Python preferred (C++, Julia, Go, R)
Familiarity with Cloud Platform AI-ML toolsets (e.g. AWS Sagemaker, GCP Vertex)
Experience building data pipelines with spark, kafka, or nifi",character(0),"c(""Hybrid"", ""In person"")",
